country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value,range,aqi_value,air_quality,date,time
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",2025-07-20 18:00:00,21.001264,75.565602,CO,12.0,24.0,19.0,12.0,312.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",2025-07-20 18:00:00,19.854616,75.905894,OZONE,36.0,103.0,85.0,67.0,85.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",2025-07-20 18:00:00,19.25292,73.142019,SO2,6.0,7.0,6.0,1.0,8.0,Good,2025-07-20,18:00:00
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",2025-07-20 18:00:00,19.192056,72.9585188,OZONE,14.0,19.0,17.0,5.0,17.0,Good,2025-07-20,18:00:00
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2025-07-20 18:00:00,16.6870449,74.2505872,PM2.5,3.0,23.0,11.0,20.0,18.0,Good,2025-07-20,18:00:00
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2025-07-20 18:00:00,16.6870449,74.2505872,NO2,5.0,33.0,19.0,28.0,24.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",2025-07-20 18:00:00,19.000083,72.813993,PM10,10.0,62.0,35.0,52.0,35.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",2025-07-20 18:00:00,19.000083,72.813993,NO2,40.0,47.0,44.0,7.0,55.0,Satisfactory,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",2025-07-20 18:00:00,19.000083,72.813993,NH3,9.0,11.0,10.0,2.0,2.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",2025-07-20 18:00:00,19.000083,72.813993,CO,18.0,42.0,29.0,24.0,371.0,Very Poor,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB",2025-07-20 18:00:00,19.047,72.8746,PM2.5,16.0,40.0,30.0,24.0,50.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB",2025-07-20 18:00:00,19.3832,72.8204,OZONE,13.0,25.0,14.0,12.0,14.0,Good,2025-07-20,18:00:00
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",2025-07-20 18:00:00,18.9936162,72.8128113,PM2.5,57.0,67.0,63.0,10.0,108.0, Moderate,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB",2025-07-20 18:00:00,21.121801,79.04952,CO,4.0,114.0,11.0,110.0,214.0,Poor,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2025-07-20 18:00:00,21.14472,79.107595,NO2,9.0,70.0,22.0,61.0,28.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB",2025-07-20 18:00:00,21.14472,79.107595,OZONE,1.0,35.0,24.0,34.0,24.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",2025-07-20 18:00:00,21.152875,79.0517531,NO2,3.0,33.0,14.0,30.0,18.0,Good,2025-07-20,18:00:00
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",2025-07-20 18:00:00,21.152875,79.0517531,NH3,1.0,3.0,1.0,2.0,0.0,Good,2025-07-20,18:00:00
